,Energies,Losses,Variations,Time
0,-19.37165397447918,-1.4522924517045204,147.04735399774282,7.097157001495361
1,-23.496576454237204,-8.09634949966549,240.0140415212563,0.002902507781982422
2,-27.8717428717263,-16.3702774573724,367.7593554944431,0.0022187232971191406
3,-34.58932383340905,-25.305008943624408,423.69806988180744,0.018946170806884766
4,-43.05521739998567,-40.29889898936358,688.1653328689927,0.021866559982299805
5,-49.89124621521046,-50.72562971195887,838.7820131390954,0.0028753280639648438
6,-54.96393987563527,-58.59675512361481,808.3029834485876,0.0018744468688964844
7,-75.98518074775095,-83.55000542977201,1248.7746258254479,0.01939988136291504
8,-83.09413401676224,-97.06965330788175,1470.282049146606,0.021746397018432617
9,-94.09175051113789,-111.30628598509004,1607.055698349992,0.014978647232055664
10,-102.38887129028215,-80.08255277228004,1121.122114235897,0.0023212432861328125
11,-97.42347661824647,-80.80181643626656,1217.7273087285812,0.0018391609191894531
12,-103.4568249546943,-52.063741668052316,966.6786084107869,0.010238170623779297
13,-116.53703012323906,-51.87153464207344,911.2267060744873,0.013298988342285156
14,-121.08582038462305,-42.71361546501628,867.6496271895115,0.013239145278930664
15,-120.61659843468459,-47.58982598553913,826.7673664828798,0.002237081527709961
16,-121.47012421792257,-42.43158067062703,1031.0130563733862,0.0018184185028076172
17,-125.09069277873282,-30.84704697755603,679.6624132524015,0.010570287704467773
18,-131.3884313583357,-28.60134964135904,680.4665196508374,0.013276815414428711
19,-129.2614928499607,-26.125245860597534,657.3657489648549,0.013338088989257812
20,-129.97774623705013,-33.89389350847311,785.8886741665183,0.0020661354064941406
21,-132.91265198199204,-29.34376348050948,668.479480286435,0.0018346309661865234
22,-133.49545874829636,-20.71103770268016,564.3738222272341,0.010437250137329102
23,-134.31903349476738,-26.442962708411425,677.068664843279,0.013315677642822266
24,-134.90384326802004,-21.21121899193427,583.0827732132482,0.012146711349487305
25,-134.54105599576982,-17.849438146084477,466.55631342609325,0.0025861263275146484
26,-135.1152538842719,-19.353521152985287,542.7034229730475,0.0018193721771240234
27,-137.05945210075856,-18.68486660063798,490.8506347768928,0.009134769439697266
28,-135.5953000492172,-17.327106850908535,503.60489436864265,0.01213979721069336
29,-143.05155522221477,-17.733866364293103,453.57290389699875,0.012217521667480469
30,-140.14569427902458,-19.650110559126855,476.9863401198171,0.002450704574584961
31,-136.45187647341808,-17.760166543658382,489.17998525639297,0.0018341541290283203
32,-142.33253989085105,-11.217530192409615,360.91552625676957,0.009108304977416992
33,-138.09294847194656,-16.111917169914626,412.74151769504795,0.01220703125
34,-139.4327954809122,-13.156010505439685,358.13545756931967,0.012190103530883789
35,-141.73103519481853,-14.292743594218337,417.7262118972926,0.0021800994873046875
36,-139.4910871582055,-13.344427683835095,422.5989347151611,0.0018198490142822266
37,-142.48795128126685,-3.156231796246164,456.00527268916966,0.009461402893066406
38,-137.53179556491824,-16.32593682993282,425.5829893458834,0.012182235717773438
39,-145.291198192723,-10.144162725507842,332.8729797355083,0.012211799621582031
40,-146.15634686924525,-10.367457413815492,343.62023583961724,0.00225067138671875
41,-137.32424027374674,-15.423448599225612,426.5455376229076,0.002058267593383789
42,-142.4187653483293,-14.95502142740108,392.9011765434478,0.009152412414550781
43,-145.12670432883158,-14.601858403751343,385.1886922564723,0.012222051620483398
44,-143.44549374948244,-10.8821102668189,323.94648351797355,0.012174129486083984
45,-142.54503310882652,-15.92289930940161,424.66778643968746,0.002187490463256836
46,-144.9779965537112,-14.893590042192157,414.0152400984873,0.001844644546508789
47,-141.7345911115438,-14.738667842714088,420.16867123109796,0.009431600570678711
48,-142.8034389935278,-14.302088588198995,401.0701582585118,0.012179851531982422
49,-145.65299621756114,-9.729761184948588,310.84065317591717,0.012227058410644531
50,-139.1350815568728,-18.42490320565521,437.7660569481217,0.0023174285888671875
51,-143.54767149389653,-10.811931908367542,354.0691705183871,0.0018281936645507812
52,-144.70431311702052,-13.03304187363509,355.42395300009446,0.009200572967529297
53,-143.20920359619765,-17.476080201204894,406.1446336631273,0.012214422225952148
54,-140.50217601396923,-17.878970993750794,400.02707732126424,0.01216745376586914
55,-142.28709100302768,-13.682778645777258,380.4274626901999,0.002218961715698242
56,-143.6913357604256,-12.270670763169896,371.28153643264505,0.0018193721771240234
57,-144.4197497331907,-13.841888818519106,354.3294368926457,0.00928640365600586
58,-147.34953317772303,-9.453168669611866,283.16875588699645,0.012192964553833008
59,-146.82471375812517,-11.208435601884663,326.171112004897,0.012202262878417969
60,-145.70272041710416,-16.530191013094676,359.8635560564983,0.0022706985473632812
61,-144.7853764759403,-11.935305255863176,348.47386198710774,0.0018138885498046875
62,-149.82128320488115,-13.425516490284904,297.3857867771568,0.009442806243896484
63,-148.5875469416882,-14.464963528130534,309.5359675363679,0.012209653854370117
64,-146.5319734968517,-13.811722525129595,324.15124899190226,0.012170076370239258
65,-147.4989672176193,-12.832436894047664,338.46126281570946,0.0020847320556640625
66,-147.19224740119049,-11.841439606264748,315.81579228876717,0.0018169879913330078
67,-146.82983323391943,-11.468617372790279,292.16742845008514,0.009459733963012695
68,-145.50287306675247,-15.938629331960302,356.85384255278115,0.012177228927612305
69,-149.00934794538168,-13.805102855925028,333.2439363926994,0.012229204177856445
70,-146.73361085397104,-9.909922588737748,279.2681488648128,0.0021533966064453125
71,-149.0775945584125,-10.900326743760793,277.43194629483963,0.0018301010131835938
72,-145.57336835234477,-17.359607776306866,350.80079922515984,0.00942540168762207
73,-146.13196125997976,-15.205711023539862,327.4506244259447,0.012210845947265625
74,-147.2416212223774,-15.217484169483027,356.09989601267336,0.01219320297241211
75,-148.1166575507898,-15.433808065035636,326.1852820512258,0.002216339111328125
76,-146.65473247832398,-12.02084899903373,307.5695483117576,0.001833200454711914
77,-149.79545358618597,-9.207925258812919,278.3867207665787,0.009252786636352539
78,-150.3654570648701,-8.82172367499028,260.53390459295366,0.012190818786621094
79,-146.55603679269913,-10.77613865486103,278.0502189540722,0.012215375900268555
80,-151.87843144838175,-6.870545139951795,203.5661571226035,0.002407550811767578
81,-148.12925308938418,-10.033735282401647,278.78985197505034,0.001825094223022461
82,-149.39676577860223,-8.421384045284078,250.17071566875788,0.009268045425415039
83,-150.85660323437725,-7.548413895179678,243.37396191774835,0.012212038040161133
84,-153.04840446983982,-9.269313500902996,225.9153530571114,0.012177467346191406
85,-148.86115410557727,-12.386962028902413,270.31405099021356,0.002223968505859375
86,-146.43237893371355,-15.074721543684305,307.3769908069864,0.0018084049224853516
87,-150.6698614756179,-10.337770221636225,255.11286505958603,0.009340286254882812
88,-154.30887645507855,-10.404069702943696,232.26172531287622,0.012161970138549805
89,-148.31446410793896,-11.67534893310334,292.99985122443894,0.0122222900390625
90,-147.60384286156733,-13.694944051870962,293.04567226158315,0.0025987625122070312
91,-147.6686316367685,-7.25372592066537,220.90741065164067,0.0019757747650146484
92,-151.17716969461998,-12.23932677294253,239.74619024923683,0.00870966911315918
93,-150.33425801266162,-10.690012523569822,271.0929135089631,0.012214422225952148
94,-149.51856413694702,-11.608655446856055,266.86023396794195,0.012177705764770508
95,-149.86762012567928,-11.313939348211447,270.41835514522603,0.002227783203125
96,-150.17012955760052,-7.952781861250018,230.6221832868262,0.001811981201171875
97,-152.67971286924774,-9.737855706088876,236.88910006596646,0.009402990341186523
98,-148.8633336914985,-11.840283392737033,274.9006205173175,0.012203454971313477
99,-151.96275053645576,-11.094877436296022,239.77624724970585,0.012226581573486328
100,-152.2259346768272,-13.253490711456417,280.8635352524899,0.002216815948486328
101,-152.16932398762074,-9.179341008659334,210.2859697225995,0.0018274784088134766
102,-149.44560413486622,-12.0414031261914,271.9374923379972,0.009319067001342773
103,-149.9094000069745,-9.598978805776602,243.687347692637,0.012216567993164062
104,-150.20886583005316,-9.6706180392429,241.770295829927,0.012172460556030273
105,-152.0141508040798,-9.597164097862182,227.67685309477477,0.002437591552734375
106,-152.95476009026655,-10.166246719538927,216.5022695477328,0.0018277168273925781
107,-148.5809101071333,-12.946130862108921,272.14357689590827,0.009191513061523438
108,-153.212665455385,-9.889461778297088,228.69053949452618,0.012183904647827148
109,-150.95891487461674,-7.6275374588713065,224.9420713961897,0.012218475341796875
110,-151.3836804922538,-9.417142786747998,217.87958880909508,0.002282381057739258
111,-151.61884752545797,-8.543138079972742,217.4431200855314,0.0018131732940673828
112,-151.8956170769634,-8.246625055670911,215.34564480358583,0.009380102157592773
113,-150.59674801167697,-10.546669652897045,229.76145100107584,0.01223897933959961
114,-151.78315089881337,-12.256367156952193,254.019478339974,0.012196779251098633
115,-154.84668375599807,-6.821404134515927,179.86271670472235,0.002077817916870117
116,-151.9756763834789,-10.111352997259742,225.70392003990798,0.0018208026885986328
117,-153.0862050142499,-8.269479160217541,201.79655462809845,0.009493112564086914
118,-153.35994316983403,-7.895683466382998,198.97870078730026,0.012193918228149414
119,-153.49003985183583,-10.646645410818541,222.13226068449953,0.01222538948059082
120,-152.872238020686,-10.21533724249832,215.35942123769425,0.0021424293518066406
121,-152.52028984057182,-9.680754862412188,220.3368704226723,0.001809835433959961
122,-154.90186023747313,-8.32064830871225,175.45747953839228,0.009414911270141602
123,-154.80566263769538,-6.586794641889953,165.10130577486598,0.012217998504638672
124,-151.970530535407,-10.68017815759088,223.64344861361707,0.012184619903564453
125,-153.11272638758896,-8.753971091905376,184.55728988771793,0.002167940139770508
126,-154.8264183507014,-7.106609193740712,163.4989467490788,0.0018169879913330078
127,-153.69692954282434,-9.027637691192615,191.34570066056128,0.009360790252685547
128,-151.77249336405524,-11.457419780254973,237.54607913970838,0.01218104362487793
129,-152.76836980773268,-9.05871495708268,202.83536949209443,0.01223444938659668
130,-152.40080227810242,-13.147586997422403,228.17188532749316,0.0022673606872558594
131,-153.0239553493705,-8.00675107229027,186.71841463970472,0.0018172264099121094
132,-150.64213042099763,-9.39059083490345,222.05982529559512,0.009493350982666016
133,-152.96277502219252,-8.766863716015381,188.6293313248168,0.012230634689331055
134,-152.25056807443278,-11.731551759955606,232.50007368405966,0.01217198371887207
135,-153.31980825349223,-8.118326162289161,182.424043170025,0.0020461082458496094
136,-152.62915919437998,-11.341406879637296,198.40307314927443,0.0018115043640136719
137,-155.49241273480968,-9.583546764706089,175.85636388382562,0.009538888931274414
138,-152.43079970674953,-9.339753898138515,205.29388171485675,0.012198925018310547
139,-153.95667365861783,-9.242696726809577,185.90074371645252,0.012228250503540039
140,-154.1423131886278,-7.252322896720395,172.55475602517163,0.0022666454315185547
141,-151.45694078794594,-8.285853782375828,202.40099412335996,0.0018198490142822266
142,-153.3289409778872,-10.052519770787965,207.49513226113632,0.009326696395874023
143,-153.06175357008436,-9.805594118334248,196.2192345107581,0.012230634689331055
144,-155.280587406621,-4.490113299563111,168.512140748631,0.012180566787719727
145,-153.02037709004605,-8.740166197255519,184.02673441610415,0.0024683475494384766
146,-154.21181721444583,-8.319920493267846,168.57070187540913,0.0018222332000732422
147,-153.14496549670648,-11.600113434082168,205.420770699902,0.009085655212402344
148,-154.7295497078451,-8.103988610623512,175.83952692548692,0.012188911437988281
149,-155.32142741749772,-3.489102654132696,175.85906666292573,0.012215137481689453
150,-153.32089153247068,-8.876289303465112,179.50086592169532,0.0021538734436035156
151,-153.66116060557243,-10.023677314987692,187.00083369425425,0.0018105506896972656
152,-154.97841940451798,-6.901809074498978,159.36719846432038,0.009518146514892578
153,-155.31630429910035,-7.984998361977477,165.73135277530542,0.012228250503540039
154,-156.11990012820806,-5.763009044460699,141.14734603435295,0.012177705764770508
155,-156.50111116013906,-7.259319973570983,144.75298235150794,0.0021762847900390625
156,-155.02405167619997,-5.369553649711916,202.22320054611103,0.001814126968383789
157,-154.85373885144614,-9.760760882044261,168.87498789452934,0.009397745132446289
158,-155.40181556249559,-9.049960528404712,161.1386239534944,0.016323566436767578
159,-156.4056997040657,-5.706587171274633,135.36133759151315,0.007996082305908203
160,-154.41802893949,-8.839415460544444,178.23526537643258,0.002358675003051758
161,-155.5601938594664,-6.860815799619722,148.76063055231995,0.0018181800842285156
162,-153.87825682986127,-8.759125550608449,171.46998963240011,0.009325504302978516
163,-156.4956950031694,-6.731437427894273,130.78905409902788,0.012224674224853516
164,-154.71825025631705,-7.959554902585495,160.47545793692893,0.012185335159301758
165,-156.19828483487555,-7.014861560417952,135.93100286352114,0.002180814743041992
166,-155.9530000468052,-7.696902095727532,138.87956706680208,0.0018322467803955078
167,-154.17821189757385,-8.81084128042621,166.5766265180854,0.009307861328125
168,-157.29451351213024,-8.292661812591009,109.48945216298718,0.012184858322143555
169,-156.43875845009427,-6.4753505288230535,132.260904866035,0.012219905853271484
170,-155.6049840670595,-7.606802029082944,145.49728740111613,0.002195119857788086
171,-153.2959532323591,-9.414233639231648,177.41107946140738,0.0018188953399658203
172,-155.40795001438295,-9.634194893999531,158.15472797659527,0.009297370910644531
173,-155.99947351679904,-9.2707742993551,147.9003554656922,0.012205839157104492
174,-154.0715967132842,-8.318271188949387,169.5970885043696,0.01218724250793457
175,-157.476695153793,-8.183907209168273,119.34406077169011,0.002118349075317383
176,-157.1393949801501,-7.112602568962487,115.10685913853331,0.0018389225006103516
177,-154.07096879590353,-8.446168281628365,169.16719115995932,0.009370088577270508
178,-157.06161788254587,-7.622726916998511,129.85502347048165,0.012177705764770508
179,-155.35443472478562,-9.514499841643598,158.86772335427543,0.01223611831665039
180,-153.7762122439645,-8.753543005142898,172.6727719624649,0.0022008419036865234
181,-154.2416995045235,-10.757181740415886,173.7835053954908,0.0018317699432373047
182,-154.65970866043364,-8.27286900318831,160.0305416031232,0.009310722351074219
183,-157.30807155167386,-6.136817886793462,113.54914526587177,0.012212276458740234
184,-154.29846435549769,-8.185670364681569,166.48580320130134,0.012180089950561523
185,-153.48353976394927,-9.153922346987317,175.6540834460064,0.002340555191040039
186,-155.83568584820915,-7.5409929265740585,140.60676208516514,0.0018243789672851562
187,-156.26970144343497,-8.163806668020788,129.67702597515196,0.009346723556518555
188,-154.9540736064737,-8.307878601717984,154.68834450780116,0.012206554412841797
189,-155.7627193371396,-7.252203494018548,143.0257098478737,0.012218475341796875
190,-158.4766323692992,-5.106064058963762,87.70982026357227,0.002122163772583008
191,-154.29342070917173,-8.498697914990736,165.62843206188748,0.0018224716186523438
192,-156.49731347425455,-7.648153315525292,126.31932501991315,0.009350776672363281
193,-156.12830528403228,-7.534696545885104,134.51572740495408,0.012220382690429688
194,-158.10195478178207,-5.072916499693284,97.14773598835285,0.012192010879516602
195,-155.91441295890618,-8.24330812221016,136.30686118169845,0.0021402835845947266
196,-157.21980134101779,-6.087595040677418,115.2766317962341,0.0018420219421386719
197,-156.71414544797435,-7.115315350546365,123.25962929338115,0.009221792221069336
198,-158.09501797417812,-5.17206392057971,96.86787915905109,0.012190103530883789
199,-156.12903327743123,-7.725683392048228,133.72243094970028,0.012220144271850586
200,-155.92146927635218,-8.389554556945779,135.4725078470691,0.002240419387817383
201,-157.5055420574,-5.912387171703935,108.96757435305153,0.001837015151977539
202,-156.4222033283348,-7.541447715613906,128.06810131830096,0.009203195571899414
203,-156.4660125465201,-9.063449659888773,136.20294698268836,0.012235641479492188
204,-157.59092358434458,-6.3910727533233045,105.08402566370474,0.012173891067504883
205,-158.95984587768675,-4.251191891396149,76.69388620172973,0.002226591110229492
206,-158.17447859691717,-5.769974842040735,92.48288429002812,0.0018379688262939453
207,-156.91444287428098,-6.723287994971574,120.06891484523182,0.00937199592590332
208,-156.81033303652885,-7.779941595375528,118.23950371857285,0.012179374694824219
209,-156.76025328371173,-8.960848120461653,129.56427859928473,0.01222372055053711
210,-157.00839292028905,-7.165671740406894,116.05458442282307,0.002321958541870117
211,-157.0087980161912,-7.190886990252757,115.92810057610943,0.0018429756164550781
212,-156.13571666236243,-8.112096033743054,131.99892616247402,0.009298563003540039
213,-156.61777427728668,-7.220821950546251,125.04570241887832,0.012235879898071289
214,-158.07179011927903,-5.5576991558536575,95.74383425523055,0.012161493301391602
215,-156.13832812648562,-8.199604953719813,131.58302775906458,0.0023131370544433594
216,-157.011482176424,-7.316267030761464,115.28479492241567,0.0018322467803955078
217,-156.61495198910194,-7.348837977149356,124.66115400436,0.009373188018798828
218,-157.48582359944922,-6.376013931025409,107.60026612912698,0.012184619903564453
219,-157.48488107035317,-6.403699224799176,107.51603849857214,0.01221609115600586
