,Energies,Losses,Variations,Model dh,Time
0,-92.96943538112428,-0.5700413418122117,2058.0823936407855,2,178.8545548915863
1,-109.03163819581661,-28.609972961828426,2445.3443165684876,2,0.11361122131347656
2,-119.48752880783006,-24.660939884421804,2164.8265874895715,2,0.1242830753326416
3,-127.84824508759012,-29.64271609714543,3348.498048361399,2,0.1123189926147461
4,-142.1774306991545,-54.27324430233115,3029.0220793581607,2,0.11227655410766602
5,-167.51728662465194,-77.91707793323899,4171.236291677271,2,0.0983586311340332
6,-190.14840960671526,-85.88467297544827,4838.87740972158,2,0.1115412712097168
7,-213.61630385942928,-85.44613103227324,6384.184358394799,2,0.11192679405212402
8,-233.6056748073244,-95.31134218846461,5346.3143803449275,2,0.11237120628356934
9,-281.6673595178569,-158.66567420276118,9320.552177634023,2,0.11223411560058594
10,-308.85845903729944,-156.46847767568323,10439.094488473442,2,0.09627223014831543
11,-352.07939910291606,-230.73964655206265,12503.779369333884,2,0.11211252212524414
12,-394.8889179346297,-162.9439451560359,11179.267720011148,2,0.11275243759155273
13,-420.11970137705435,-301.73944637730966,16242.882618679174,2,0.11250805854797363
14,-518.9744450059698,-308.27647998682295,16322.122278615032,2,0.11257648468017578
15,-598.6692825856286,-356.13856644807885,19527.462370225865,2,0.09802913665771484
16,-655.7910608853729,-437.59015633215927,23599.039501783976,2,0.1122443675994873
17,-716.849873115858,-593.2139800442013,29189.910460351453,2,0.1128842830657959
18,-885.9440166436079,-763.219384874265,43913.379720745164,2,0.11258196830749512
19,-953.9964331085773,-1055.7723775485051,55951.997811960726,2,0.11301803588867188
20,-1059.6424495268295,-939.618141521937,47292.938585823365,2,0.09679055213928223
21,-1169.0500933269905,-918.095939946771,44821.83561374157,2,0.11295557022094727
22,-1235.162029019869,-1405.645634718634,64996.33120696789,2,0.1125485897064209
23,-1357.608700458333,-1428.8850124713756,64372.60840540225,2,0.11229062080383301
24,-1440.6291232828155,-1248.239788329758,54556.17247021012,2,0.11185121536254883
25,-1517.7883474693872,-1340.1152989940765,56972.72863935758,2,0.09694290161132812
26,-1578.735808059969,-1392.1666759514649,59505.79383066683,2,0.11163043975830078
27,-1703.9041327229468,-1206.5394390553895,50846.85874068977,2,0.11202716827392578
28,-1720.4780651464255,-1477.7061639746366,59404.36861520704,2,0.11242914199829102
29,-1779.5543289341633,-1240.6222466487209,46807.43928018905,2,0.11207246780395508
30,-1828.102058028141,-964.9556790146837,38134.053266506104,2,0.0965890884399414
31,-1843.7353344878134,-1380.6244139357068,49700.23379907807,2,0.1121377944946289
32,-1876.119716371404,-893.8629706609271,32367.992957139722,2,0.11245346069335938
33,-1924.908905271218,-1092.0381926177752,38511.71235757616,2,0.1127786636352539
34,-1953.8115714535822,-895.1885382792127,32087.90560543572,2,0.11264848709106445
