,Energies,Losses,Variations,Model dh,Time
0,(-5.136785355634309-0.4276935959556204j),26.559327106385346,38.38343112506025,2,14.95448637008667
1,(-4.898107433026792-1.5806614880562533j),62.830019252109054,81.33512972093337,2,0.06694173812866211
2,(-6.067970179393226+0.4030954722027443j),71.95560728248302,84.7281148770336,2,0.08436012268066406
3,(-6.197951493084085+0.12888782595725015j),39.4471787460629,51.61048983196511,2,0.07689619064331055
4,(-5.896081248763067+1.586523145926629j),25.374302016848542,61.151747657586775,2,0.07422232627868652
5,(-6.903862043658123-9.420176029722782e-05j),28.223525603498928,38.04876929253366,2,0.05807924270629883
6,(-8.006115564759748-0.49495220696049375j),41.44789732002977,52.48119292095835,2,0.07412481307983398
7,(-7.044129245303877+0.9118969783833162j),28.93671882020326,42.52957368835957,2,0.0744175910949707
8,(-8.094137414722656-0.26514287013727283j),63.96430631244389,53.551617992633474,2,0.0745697021484375
9,(-8.883104780797098-0.9836622773772113j),53.33496785703482,100.9030851937693,2,0.07475829124450684
10,(-9.205057776961748+0.19080424724850972j),39.5257941558038,54.315891160734346,2,0.058785438537597656
11,(-9.92660387081977+0.23216706441610666j),58.82504030383463,53.808889251239655,2,0.07478475570678711
12,(-9.90292352623896+0.10248175667306861j),62.69268816427334,98.72619823506912,2,0.0746605396270752
13,(-10.582307642012411-0.21308111300652868j),52.07114637217754,85.3218102829236,2,0.07440996170043945
14,(-11.088933561048684-0.04797737188925339j),40.61797842998848,44.46367755108491,2,0.07465291023254395
15,(-11.704780585952467+0.6574349275525552j),33.946610750672754,56.53303472196242,2,0.05846762657165527
16,(-12.012829328163152+0.1904552019051642j),58.872820635208285,76.00770595198071,2,0.07464957237243652
17,(-12.5613635784192+0.0523418287438555j),48.55352943052775,52.99425043396899,2,0.07449507713317871
18,(-13.072272320221526-0.21946936028959485j),28.70634005906913,46.658843459901675,2,0.07476544380187988
19,(-13.25391684810526+0.054384995725242274j),34.75565399237865,47.6558215072884,2,0.07486581802368164
20,(-14.179270655820401-0.4973107190889046j),39.76693357606222,61.029020792674245,2,0.05869483947753906
21,(-14.456399766857666+0.37737552210531117j),28.648267874647473,63.94907408385606,2,0.07463455200195312
22,(-15.152021033633321+0.4857091235543722j),31.1749821513572,55.27602143136457,2,0.07447504997253418
23,(-14.830017566618881+1.4283029876363709j),27.99312574819497,67.8981595900431,2,0.07451057434082031
24,(-14.98540709057098+0.23443316353614557j),9.612518848387925,39.74836919504944,2,0.07456517219543457
25,(-15.498965759485312-0.11992001376014991j),30.963756655820454,71.73283081947561,2,0.05882430076599121
26,(-16.634730619761985-0.14545636350884233j),18.295396785562286,64.22058677083635,2,0.07427978515625
27,(-16.120536962032602+0.8368283733113507j),28.79147730377849,48.2389982177217,2,0.07443976402282715
28,(-15.537614123638878-0.24224955175280763j),0.7603557067315114,64.99017682732654,2,0.07435989379882812
29,(-15.382664150832348+0.3054906444358471j),8.640159933429832,45.84023086294622,2,0.07401275634765625
30,(-16.65649337658288+0.6280312193226998j),10.86141903365306,64.9917653648878,2,0.05894899368286133
31,(-16.220048989255368-0.40315864627331965j),-0.03593475904245395,72.99702461687744,2,0.07478666305541992
32,(-16.681980782473648-0.17912208359772358j),-4.633516600511038,75.9182175761839,2,0.07467174530029297
33,(-16.469285075760535-0.15687080843600154j),-3.411222931616676,61.020827265361476,2,0.07471704483032227
34,(-16.56962845009735+0.3170041971444979j),-8.24410634046129,48.79634229832666,2,0.07460904121398926
35,(-16.872672997297485+0.26232686131864646j),-8.78989624399947,53.265701497382,2,0.05884432792663574
36,(-16.666587501751383+0.21403041042728668j),-1.8210937154695876,61.18236202975688,2,0.07468008995056152
37,(-16.86963173002193+0.9492503168943079j),-4.899819787780063,51.8381576331284,2,0.0748600959777832
38,(-16.80673305527033+0.11273134698844156j),-8.59456250176967,47.615948015523884,2,0.07478213310241699
39,(-18.275082157024862+0.745533661332972j),-0.2530836922256094,78.28469353357933,2,0.07501792907714844
40,(-16.494251713523923+0.5276229221571281j),-8.683387899435989,51.947151849841106,2,0.05881166458129883
41,(-17.22914664021355+0.20069663678976196j),3.858739534657648,62.04918876242298,2,0.07567095756530762
42,(-17.321285515569645-0.3882066979954149j),-12.088601248210004,72.8746092292035,2,0.07372736930847168
43,(-16.358213408920054-0.04232793231423446j),-4.343051476537964,48.15742020525909,2,0.07453632354736328
44,(-17.174185728845497+0.6796300815219903j),-7.512026551499749,59.145333549362164,2,0.07464790344238281
45,(-17.450063678089506+0.21201973728151632j),-18.235752187137493,60.319369624368846,2,0.05872344970703125
46,(-15.78186550370741-0.4061951330035931j),-9.296714091892195,57.13216010237359,2,0.07444334030151367
47,(-16.704778342836526+0.06990271984145087j),-13.144922709567389,51.76137426093503,2,0.07434582710266113
48,(-17.02410676941383-0.47277265834296556j),-12.037457203753563,53.011277762251524,2,0.07446146011352539
49,(-16.757631394819413+0.2764334029992919j),-14.707176645640766,50.76826416698019,2,0.07436013221740723
50,(-16.619033984239216+0.07121909829620282j),-10.004062528502073,64.56593997319382,2,0.05916857719421387
51,(-16.269494395005577-0.13638305665637446j),-11.013869791150091,60.50091456762322,2,0.07458090782165527
52,(-16.75592230275124+0.1620574632660656j),-3.000648333869858,64.39474686384965,2,0.07452654838562012
53,(-17.63053157779054-0.22581630357619584j),4.361681401307237,52.57296420969166,2,0.07451462745666504
54,(-16.13639671405155+0.08982592429421886j),-11.434399267318595,47.4799614373698,2,0.07447981834411621
55,(-17.44621893098873+0.4908137419455193j),5.015079580767556,67.90172208705964,2,0.0585482120513916
56,(-16.540883669649105-0.4955689603321805j),-5.471895346531154,53.557657529096396,2,0.07448339462280273
57,(-17.785750417722944+0.554224275622792j),10.945323867089598,58.05361938697861,2,0.07449126243591309
58,(-17.438018208157963+0.4195380318058624j),14.192575203109955,86.91455715033072,2,0.07448744773864746
59,(-17.65736914400643+0.46386795338069325j),3.774361863676786,53.791385059575134,2,0.07445216178894043
60,(-15.80777517902462-0.5724609964091206j),2.6815891936973095,39.15158934943614,2,0.05861997604370117
61,(-17.144510776628863-0.32207453805264463j),0.9346501639886651,79.80285271678814,2,0.07449555397033691
62,(-18.633896990756213-0.205096109348308j),-3.5620419450182546,72.68239255784192,2,0.07536911964416504
63,(-17.68620893278259-1.0255341385127088j),-4.646083296956508,66.07327610719922,2,0.07392454147338867
64,(-19.36251600550668+0.4798461399400317j),12.690993114866929,119.14515536679247,2,0.07467365264892578
65,(-18.252673597276793+0.24996234418736366j),1.9595432031352062,52.808534405891095,2,0.059149742126464844
66,(-16.85059957268793-0.05100607011482918j),-3.739939483659648,43.06065268044758,2,0.07476997375488281
67,(-18.18801881170394-0.644362658987005j),0.02572154160892296,72.09057623354951,2,0.07474827766418457
68,(-17.521842003185355+0.07488966198226009j),-2.467769800844394,54.860466010841776,2,0.07470846176147461
69,(-18.37939187406573-0.21492556339273372j),-3.072327185697659,59.226842578419635,2,0.07472801208496094
70,(-16.826592137304516-0.2962515418938789j),-4.588597628053808,38.298678439676976,2,0.05887317657470703
71,(-18.696928694609223+0.6260949574109554j),3.711586963820939,62.04096807517431,2,0.07476997375488281
72,(-18.038698206151118-0.1297313614843855j),-9.17302069486626,68.52380066845927,2,0.07493472099304199
73,(-17.222783901714774-0.04240838372354258j),-5.1044274987841805,58.82419246097567,2,0.07492947578430176
74,(-17.21102564698012-0.5926897468984244j),-3.5282545001684027,50.48158293633913,2,0.07460165023803711
75,(-16.292772846414852+0.12008892487643992j),-3.130756817383069,46.25571161539115,2,0.058702945709228516
76,(-17.913743702816674-0.04883673482898159j),-4.469888652189941,62.38949063888769,2,0.07441830635070801
77,(-18.765551064318373-0.36149706574297535j),-12.643691059683974,85.97668407802577,2,0.0745394229888916
