,Energies,Losses,Variations,Model dh,Time
0,(-5.136785355634309-0.4276935959556204j),26.559327106385346,38.38343112506025,2,14.973880767822266
1,(-4.898107433026792-1.5806614880562533j),62.830019252109054,81.33512972093337,2,0.068553209
2,(-6.067970179393226+0.4030954722027443j),71.95560728248302,84.72811488,2,0.086511612
3,(-6.197951493084085+0.12888782595725015j),39.44717875,51.61048983196511,2,0.077783585
4,(-5.896081248763067+1.586523145926629j),25.374302016848542,61.151747657586775,2,0.074187994
5,(-6.903862043658123-9.420176029722782e-05j),28.223525603498928,38.04876929253366,2,0.058570385
6,(-8.006115564759748-0.49495220696049375j),41.44789732002977,52.48119292095835,2,0.07434535
7,(-7.044129245303877+0.9118969783833162j),28.93671882020326,42.52957368835957,2,0.074454784
8,(-8.094137414722656-0.26514287013727283j),63.96430631244389,53.551617992633474,2,0.074582815
9,(-8.883104780797098-0.9836622773772113j),53.33496785703482,100.9030851937693,2,0.074885845
10,(-9.205057776961748+0.19080424724850972j),39.52579416,54.315891160734346,2,0.058720827
11,(-9.92660387081977+0.23216706441610666j),58.82504030383463,53.808889251239655,2,0.074866772
12,(-9.90292352623896+0.10248175667306861j),62.69268816427334,98.72619823506912,2,0.074339628
13,(-10.582307642012411-0.21308111300652868j),52.07114637217754,85.32181028,2,0.074424028
14,(-11.088933561048684-0.04797737188925339j),40.61797842998848,44.46367755108491,2,0.074620724
15,(-11.704780585952467+0.6574349275525552j),33.946610750672754,56.53303472196242,2,0.058816195
16,(-12.012829328163152+0.1904552019051642j),58.872820635208285,76.00770595198071,2,0.074519157
17,(-12.5613635784192+0.0523418287438555j),48.55352943052775,52.99425043396899,2,0.074817181
18,(-13.072272320221526-0.21946936028959485j),28.70634005906913,46.658843459901675,2,0.074908018
19,(-13.25391684810526+0.054384995725242274j),34.75565399237865,47.65582151,2,0.0746665
20,(-14.179270655820401-0.4973107190889046j),39.76693357606222,61.029020792674245,2,0.058234453201293945
21,(-14.456399766857666+0.37737552210531117j),28.648267874647473,63.94907408385606,2,0.074250937
22,(-15.152021033633321+0.4857091235543722j),31.17498215,55.27602143136457,2,0.074531794
23,(-14.830017566618881+1.4283029876363709j),27.99312574819497,67.89815959,2,0.074459791
24,(-14.98540709057098+0.23443316353614557j),9.612518848387925,39.74836919504944,2,0.074379444
25,(-15.498965759485312-0.11992001376014991j),30.963756655820454,71.73283081947561,2,0.058780193
26,(-16.634730619761985-0.14545636350884233j),18.295396785562286,64.22058677083635,2,0.075421333
27,(-16.120536962032602+0.8368283733113507j),28.79147730377849,48.23899822,2,0.073326111
28,(-15.537614123638878-0.24224955175280763j),0.7603557067315114,64.99017682732654,2,0.074374914
29,(-15.382664150832348+0.3054906444358471j),8.640159933429832,45.84023086294622,2,0.074359655
30,(-16.65649337658288+0.6280312193226998j),10.86141903365306,64.99176536,2,0.059187889099121094
31,(-16.220048989255368-0.40315864627331965j),-0.035934759,72.99702461687744,2,0.074541807
32,(-16.681980782473648-0.17912208359772358j),-4.633516601,75.91821758,2,0.07461834
33,(-16.469285075760535-0.15687080843600154j),-3.411222932,61.020827265361476,2,0.074509144
34,(-16.56962845009735+0.3170041971444979j),-8.24410634,48.79634229832666,2,0.074534655
35,(-16.872672997297485+0.26232686131864646j),-8.789896244,53.2657015,2,0.059108973
