N = 64, model_type = GRU, Adaptive Run
Step = 505, Energy = -25.775599+0.599744j, Var = 62.774773
Step = 510, Energy = -25.373234-0.688028j, Var = 49.118947
Step = 515, Energy = -25.359736+0.136340j, Var = 42.756746
Step = 520, Energy = -24.628621+0.326561j, Var = 36.978971
Step = 525, Energy = -25.685683-0.017709j, Var = 90.829002
Step = 530, Energy = -23.782317+0.192218j, Var = 38.737161
Step = 535, Energy = -25.059680-0.726997j, Var = 47.406789
Step = 540, Energy = -24.808938-0.946712j, Var = 38.471855
Step = 545, Energy = -26.208924-0.685083j, Var = 38.758411
Step = 550, Energy = -25.462770+0.049836j, Var = 58.110653
Step = 555, Energy = -24.180894-0.985519j, Var = 54.410438
Step = 560, Energy = -25.631209+0.315275j, Var = 59.737376
Step = 565, Energy = -25.285325-0.096800j, Var = 26.767927
Step = 570, Energy = -25.323748+0.142196j, Var = 45.272114
Step = 575, Energy = -25.740956+0.021874j, Var = 43.676545
Step = 580, Energy = -24.830071-0.512460j, Var = 52.896755
Step = 585, Energy = -25.521865-0.479198j, Var = 35.759844
Step = 590, Energy = -25.928164-0.372121j, Var = 62.377668
Step = 595, Energy = -25.054661-0.186721j, Var = 38.435562
Step = 600, Energy = -25.323661-0.501907j, Var = 43.496361
Step = 605, Energy = -24.595230-0.189206j, Var = 41.996751
Step = 610, Energy = -25.518040-0.500945j, Var = 54.902282
Step = 615, Energy = -25.639547-0.239578j, Var = 39.524509
Step = 620, Energy = -25.167257+0.187983j, Var = 35.863903
Step = 625, Energy = -25.614830+0.795555j, Var = 46.376464
Step = 630, Energy = -25.934148+0.029540j, Var = 45.887717
Step = 635, Energy = -26.402370-0.723005j, Var = 48.328463
Step = 640, Energy = -26.771724+0.319241j, Var = 57.519204
Step = 645, Energy = -25.548908+0.249561j, Var = 44.896705
Step = 650, Energy = -25.889561-0.579131j, Var = 44.534864
Step = 655, Energy = -27.455714+1.152204j, Var = 76.889075
Step = 660, Energy = -26.194108-0.147743j, Var = 59.664553
Step = 665, Energy = -26.044438-0.077601j, Var = 24.386841
Step = 670, Energy = -27.831434+1.286312j, Var = 67.641075
Step = 675, Energy = -26.136427-0.367732j, Var = 35.514896
Step = 680, Energy = -25.582594-0.133073j, Var = 37.352306
Step = 685, Energy = -27.270981-0.239739j, Var = 34.949362
Step = 690, Energy = -26.465820+0.017475j, Var = 42.046257
Step = 695, Energy = -25.543528+0.158108j, Var = 34.742314
Step = 700, Energy = -25.297056-0.160370j, Var = 30.445580
Step = 705, Energy = -25.984196-0.370187j, Var = 38.849561
Step = 710, Energy = -27.186277+0.003906j, Var = 47.181051
Step = 715, Energy = -26.234384+0.301141j, Var = 52.031802
Step = 720, Energy = -27.165448-0.095828j, Var = 45.511597
Step = 725, Energy = -26.471667+0.850030j, Var = 45.620301
Step = 730, Energy = -26.468641-0.009007j, Var = 47.895037
Step = 735, Energy = -27.090676+0.222185j, Var = 40.023866
Step = 740, Energy = -27.400864+0.196186j, Var = 82.622064
Step = 745, Energy = -26.854302-1.456874j, Var = 40.031951
Step = 750, Energy = -27.043192+1.280860j, Var = 42.070966
Step = 755, Energy = -25.857618+0.143358j, Var = 49.588756
Step = 760, Energy = -26.171815-0.176216j, Var = 44.065011
Step = 765, Energy = -26.835481-0.505651j, Var = 36.031070
Step = 770, Energy = -26.412950+0.827855j, Var = 52.024339
Step = 775, Energy = -26.841999-0.600136j, Var = 38.023747
Step = 780, Energy = -27.083257-0.398459j, Var = 32.043886
Step = 785, Energy = -27.574907-0.550386j, Var = 35.868932
Step = 790, Energy = -26.775232-0.651762j, Var = 44.889598
Step = 795, Energy = -27.015664+0.077350j, Var = 37.470495
Step = 800, Energy = -26.815010-0.771203j, Var = 37.414140
Step = 805, Energy = -26.551962-0.361043j, Var = 33.064290
Step = 810, Energy = -26.418575+0.034101j, Var = 42.159971
Step = 815, Energy = -26.558831-0.058644j, Var = 40.283050
Step = 820, Energy = -26.697883-0.263111j, Var = 39.596980
Step = 825, Energy = -27.506593-0.700337j, Var = 38.894867
Step = 830, Energy = -26.470937+0.349349j, Var = 45.257412
Step = 835, Energy = -27.413992+0.967837j, Var = 54.320143
Step = 840, Energy = -27.080617+0.473948j, Var = 48.158062
Step = 845, Energy = -26.878795-0.324152j, Var = 30.402048
Step = 850, Energy = -27.480547+0.430777j, Var = 37.188216
Step = 855, Energy = -26.983018+0.438268j, Var = 37.806325
Step = 860, Energy = -27.626960-0.103992j, Var = 56.148697
Step = 865, Energy = -26.828617+0.741163j, Var = 60.032188
Step = 870, Energy = -26.690031+0.077973j, Var = 38.069616
Step = 875, Energy = -27.145797-0.131922j, Var = 37.177842
