N = 64, model_type = GRU
Step = 390, Energy = -47.314297+0.092466j, Var = 43.902549, Loss = -29.610517
Step = 395, Energy = -46.957688+0.133819j, Var = 44.555572, Loss = -21.310517
Step = 400, Energy = -47.941442+0.141647j, Var = 46.699834, Loss = -6.882328
Step = 405, Energy = -48.815163+0.157013j, Var = 49.235778, Loss = 6.772603
Step = 410, Energy = -48.422398-0.159179j, Var = 36.075231, Loss = 14.468064
Step = 415, Energy = -47.823730-0.487315j, Var = 65.932447, Loss = -19.447593
Step = 420, Energy = -48.074648-0.249025j, Var = 64.847519, Loss = 36.838783
Step = 425, Energy = -48.448314-0.132658j, Var = 28.060548, Loss = 0.083877
Step = 430, Energy = -50.046526-0.405556j, Var = 44.408049, Loss = 19.055826
Step = 435, Energy = -50.379986+0.238178j, Var = 36.896848, Loss = -6.101604
Step = 440, Energy = -49.170536-0.533247j, Var = 84.544306, Loss = 0.485675
Step = 445, Energy = -49.904831-0.222662j, Var = 48.282072, Loss = 6.426546
Step = 450, Energy = -48.397914+0.901086j, Var = 61.579038, Loss = -5.187052
Step = 455, Energy = -44.948021+0.102031j, Var = 78.214819, Loss = 34.630578
Step = 460, Energy = -48.096940-0.148847j, Var = 40.748862, Loss = -16.851475
Step = 465, Energy = -48.020647+0.988398j, Var = 42.541102, Loss = 6.452506
Step = 470, Energy = -50.056801-0.063703j, Var = 33.519232, Loss = 3.133823
Step = 475, Energy = -50.177262-0.520449j, Var = 35.325005, Loss = 9.126153
Step = 480, Energy = -51.082266-0.394095j, Var = 35.701907, Loss = -4.821312
Step = 485, Energy = -52.153354-0.226712j, Var = 59.188714, Loss = 6.247898
Step = 490, Energy = -50.824594-0.581730j, Var = 94.091341, Loss = -20.443240
Step = 495, Energy = -50.716680+0.448999j, Var = 48.414834, Loss = 9.865299
Step = 500, Energy = -50.576489-0.509581j, Var = 36.975177, Loss = 11.747774
Step = 505, Energy = -50.313651+0.309789j, Var = 55.361919, Loss = -18.510576
Step = 510, Energy = -51.741383-0.127640j, Var = 37.109843, Loss = 5.107550
Step = 515, Energy = -51.556957-0.233145j, Var = 60.481063, Loss = 9.778163
Step = 520, Energy = -52.260707+0.664852j, Var = 39.646578, Loss = -10.652095
Step = 525, Energy = -46.091116-0.107532j, Var = 125.046990, Loss = 49.677673
Step = 530, Energy = -44.701804+0.460458j, Var = 78.918742, Loss = -21.601325
Step = 535, Energy = -44.306573+0.219305j, Var = 82.736447, Loss = 46.251618
Step = 540, Energy = -47.651030+0.394160j, Var = 68.556962, Loss = -5.017730
Step = 545, Energy = -48.926608+0.006064j, Var = 45.563069, Loss = 17.889898
Step = 550, Energy = -47.815423+0.027014j, Var = 52.712194, Loss = 2.231935
Step = 555, Energy = -49.496234-0.073673j, Var = 56.670711, Loss = -28.250703
Step = 560, Energy = -50.584547-0.711283j, Var = 61.609358, Loss = 3.451748
Step = 565, Energy = -50.113301-0.318464j, Var = 43.533995, Loss = -14.607478
Step = 570, Energy = -50.562432+0.302253j, Var = 39.477476, Loss = -0.975779
Step = 575, Energy = -52.324337-0.628360j, Var = 63.933311, Loss = 30.141995
Step = 580, Energy = -42.870769+2.283100j, Var = 375.482870, Loss = 6.230525
Step = 585, Energy = -22.268903+0.298016j, Var = 126.610209, Loss = 15.662400
Step = 590, Energy = -24.057685-0.258343j, Var = 227.167463, Loss = 66.995213
Step = 595, Energy = -32.055309+0.009360j, Var = 166.422233, Loss = 0.233500
Step = 600, Energy = -29.460706-1.611780j, Var = 143.435050, Loss = -21.766456
Step = 605, Energy = -29.462468+0.650856j, Var = 84.429127, Loss = 38.846277
Step = 610, Energy = -26.605509+0.036145j, Var = 94.127620, Loss = -48.642421
Step = 615, Energy = -31.655473+0.416687j, Var = 74.570633, Loss = 51.538725
Step = 620, Energy = -32.498736+0.251152j, Var = 58.403219, Loss = -25.655765
Step = 625, Energy = -35.727147+0.163216j, Var = 87.876117, Loss = 40.662117
Step = 630, Energy = -36.430977+0.315963j, Var = 62.404823, Loss = -9.955423
Step = 635, Energy = -38.136514+0.182122j, Var = 59.862798, Loss = 22.171611
Step = 640, Energy = -37.534627+0.158775j, Var = 94.637818, Loss = -2.651011
Step = 645, Energy = -40.282153-0.371504j, Var = 70.950318, Loss = -5.190834
Step = 650, Energy = -39.292044-0.683367j, Var = 95.288094, Loss = -0.138859
Step = 655, Energy = -41.135882+0.455734j, Var = 125.298931, Loss = 16.728482
Step = 660, Energy = -40.224482+0.318474j, Var = 54.349987, Loss = -5.524825
Step = 665, Energy = -38.864170-0.293963j, Var = 66.371133, Loss = 26.147317
Step = 670, Energy = -41.262725+0.629147j, Var = 68.515044, Loss = -23.937786
Step = 675, Energy = -41.949239-0.369723j, Var = 60.326955, Loss = 6.224614
Step = 680, Energy = -41.065207+0.371064j, Var = 82.273696, Loss = -24.364861
Step = 685, Energy = -41.470111-0.127286j, Var = 75.599755, Loss = -0.310269
Step = 690, Energy = -42.560012-0.115715j, Var = 63.151966, Loss = -15.815158
